title,status,id,layout,client,year,sector,description,brief,solution,services,awards,quotes,link,main_image,images
ActivAngel Smart Thermometer,active,biophilia_activangel__wireless_thermometer,project,Biophilia,2018,"Consumer electronics, digital health","Smart thermometer constantly measures temperature and sends smartphone alerts, for patients, athletes and fertility purposes.","After gathering initial customer feedback and sourcing a better thermal sensor, the Stemp founder asked Keydesign to make a redesign of Stemp that would be easier to use and less costly to manufacture. Because this thermometer is worn on the body for a prolonged time, comfort, functionality and hygiene were our design focus. Regular temperature monitoring demands considerable time commitment for patients, athletes, and fertility purposes. Continuous temperature monitoring with alerts can significantly save time.","The thermometer's pebble-like design offers maximum comfort and discreet placement on the body, and the small charging port removed the need for a secondary charging sled, saving significant cost. Keydesign also designed the retail packaging to showcase the innovative monitoring solution while using minimal material usage. Continuous monitoring with smartphone alerts ensures timely updates, while the gentle, breathable adhesive maintains comfort and hygiene during extended wear.","[design research, ideation, ergonomics, 3D CAD modeling, surfacing, design for manufacturing (DFM), design documentation (tech pack), photorealistic rendering, branding and identity, packaging design]",,,,/assets/images/projects/biophilia__wireless_thermometer/h_w_biophilia.jpg,"[/assets/images/projects/biophilia__wireless_thermometer/p_w_biophilia_01.jpg, /assets/images/projects/biophilia__wireless_thermometer/p_w_biophilia_02.jpg, /assets/images/projects/biophilia__wireless_thermometer/p_w_biophilia_03.jpg, /assets/images/projects/biophilia__wireless_thermometer/p_w_biophilia_04.jpg]"
Protective Case for iPads used in Schools,active,cesium__rugged_edu_case,project,Cesium,2018,"Consumer electronics, mobile accessories","A protective iPad case designed for school-age children, featuring a protective shell and a built-in stand for added functionality.",Cesium was seeking a durable tablet case for their education customers for elementary and high school students. The primary requirement was to find a solution that could effectively safeguard the iPads in various school use scenarios.,"Keydesign developed a rugged and drop-protected solution to meet this demand. The soft silicone inner shell with enlarged corner cushioning ensures the iPad is shielded from impacts when accidentally dropped. Additionally, the hard PC cover allows for easy grip and features a built-in stand, offering convenient angles for writing or reading purposes.","[design research, ideation, 3D CAD modeling, surfacing, design for manufacturing (DFM), design documentation (tech pack), manufacturing support]",,,https://www.cesiumonline.com/,/assets/images/projects/cesium__rugged_edu_case/h_w_RuggedEDUcase.jpg,"[/assets/images/projects/cesium__rugged_edu_case/p_w_RuggedEDUcase_01.jpg, /assets/images/projects/cesium__rugged_edu_case/p_w_RuggedEDUcase_02.jpg]"
Point of Sale Display: Gen 1,active,five_stars__point_of_sale_display_gen1,project,Fivestars,2018,"Consumer electronics, point of sale",Point of Sale Display for collecting user data and offering repeat-visit loyalty rewards.,"Keydesign supported Fivestars, a startup offering loyalty and payment services to small businesses, by designing three generations of POS products as their user base increased, ultimately leading to their acquisition by SumUp. For this first product, they asked for a simple and low cost solution to trial the market.","We assisted Fivestars in creating and developing their first ever hardware product: a tablet enclosure that allowed easier customer input at point-of-sale, with a distinct Fiverstars visual identity. Our top priority was ensuring the intuitiveness and ergonomic design of the product, as it is frequently used by many people, often for the first time, emphasizing a seamless and user-friendly experience. The success of this first-generation product relied heavily on its serviceability and affordability. The product's maintenance-friendly design consists of just two easily disassembled parts.","[design research, branding and identity, ideation, user-centered design, ergonomics, prototyping, 3D CAD modeling, surfacing, color, material, finish selection (CMF), design documentation (tech pack), collaboration with engineers and developers]",,,https://www.fivestars.com/,/assets/images/projects/five_stars__point_of_sale_display_gen1/h_w_Point of Sale Display gen1 .jpg,"[/assets/images/projects/five_stars__point_of_sale_display_gen1/p_w_Point of Sale Display gen1_01.jpg, /assets/images/projects/five_stars__point_of_sale_display_gen1/p_w_Point of Sale Display gen1_02 .jpg]"
Point of Sale Display: Gen 2,active,five_stars__point_of_sale_display_gen2,project,Fivestars,2019,"Consumer electronics, point of sale","A Point of sale display designed to collect user data, provide repeat-visit loyalty rewards, and offer payment options.","Keydesign supported Fivestars, a startup offering loyalty and payment services to small businesses, by designing three generations of POS products as their user base increased, ultimately leading to their acquisition by SumUp. In this second generation, they wanted to offer payment options as a value add to their customers.","Fivestars customers were thrilled with the first generation end-user loyalty solution we had designed, but began asking for payment solutions to further support their small business needs, necessitating a upgraded design that seamlessly integrated both aspects. Given that it was a second-generation product for this growing startup, we skillfully incorporated off-the-shelf parts while successfully integrating all requirements, ensuring both usability and fidelity to Fivestars' visual identity.","[design research, branding and identity, ideation, user-centered design, ergonomics, prototyping, 3D CAD modeling, surfacing, color, material, finish selection (CMF), design documentation (tech pack), collaboration with engineers and developers]",,,https://www.fivestars.com/,/assets/images/projects/five_stars__point_of_sale_display_gen2/h_w_Point of Sale Display gen2.jpg,"[/assets/images/projects/five_stars__point_of_sale_display_gen2/p_w_Point of Sale Display gen2_01.jpg, /assets/images/projects/five_stars__point_of_sale_display_gen2/p_w_Point of Sale Display gen2_02.jpg]"
Point of Sale Display: Gen 3,active,five_stars__point_of_sale_display_gen3,project,Fivestars,2020,"Consumer electronics, point of sale",A modular point of sale product designed for two different customers.,"Keydesign supported Fivestars, a startup offering loyalty and payment services to small businesses, by designing three generations of POS products as their user base increased, ultimately leading to their acquisition by SumUp. In this third generation device, they wanted to make a stronger brand statement in this competitive market.","As Fivestars' business expanded, the need for a fully custom-made product became apparent. We designed an innovative product that catered to Fivestars' diverse customer needs, allowing seamless usage as Loyalty-only or easily adaptable for those who also desired Loyalty + Pay options, by simply adding the optional payment base module. By creating this modular design, we significantly decreased production and distribution costs. Despite the increased complexity compared to the previous-generation designs, we successfully maintained the Fivestars' visual identity that we had defined from the beginning.","[design research, branding and identity, ideation, user-centered design, ergonomics, prototyping, 3D CAD modeling, surfacing, color, material, finish selection (CMF), design documentation (tech pack), collaboration with engineers and developers]",,,https://www.fivestars.com/,/assets/images/projects/five_stars__point_of_sale_display_gen3/h_w_Point of Sale Display gen3.jpg,"[/assets/images/projects/five_stars__point_of_sale_display_gen3/p_w_Point of Sale Display gen3_01.jpg, /assets/images/projects/five_stars__point_of_sale_display_gen3/p_w_Point of Sale Display gen3_02.jpg, /assets/images/projects/five_stars__point_of_sale_display_gen3/p_w_Point of Sale Display gen3_03.jpg]"
The Flower Shaped Flashlight,active,golden_trees__flashlight_nightlight,project,Golden Trees,2015,"Consumer electronics, children's products",An intuitive and user-friendly rechargeable night light designed for kids.,Our client wanted an innovative design for a USB charging light for the saturated children's light market.,"This approachable and charming night-light and flashlight combo cleverly utilizes the familiar flower and flowerpot association to guide children on its usage. The child ""picks the flower,"" uses it as a flashlight and then ""plants"" it back in its flowerpot for easy recharging.","[design research, ideation, user-centered design, 3D CAD modeling, color, material, finish selection (CMF), design documentation (tech pack)]",,,http://goldentreestechnology.com/,/assets/images/projects/golden_trees__flashlight_nightlight/h_w_flower flashlight.jpg,"[/assets/images/projects/golden_trees__flashlight_nightlight/p_w_flower flashlight_01.jpg, /assets/images/projects/golden_trees__flashlight_nightlight/p_w_flower flashlight_02.jpg]"
Silicone Solar Lantern: Tabletop or Hanging Adaptability,active,golden_trees__outdoor_solar_lamp,project,Golden Trees,2016,Solar lighting,"Outdoor, weather-resistant solar light.","Our client, a manufacturer of silicone LED lights, needed an innovative design for a solar powered outdoor lamp.","This solar lamp utilizes the flexible nature of silicone, effortlessly transforming between a tabletop option and a hanging lamp. Its design draws inspiration from classic table candle light holders and hanging lanterns, adding a touch of familiarity while embracing modern solar-powered technology.","[design research, ideation, innovation, 3D CAD modeling, design presentation]",,,http://goldentreestechnology.com/,/assets/images/projects/golden_trees__outdoor_solar_lamp/h_w_outdoor solar lamp.jpg,"[/assets/images/projects/golden_trees__outdoor_solar_lamp/p_w_outdoor solar lamp_01.jpg, /assets/images/projects/golden_trees__outdoor_solar_lamp/p_w_outdoor solar lamp_02.jpg, /assets/images/projects/golden_trees__outdoor_solar_lamp/p_w_outdoor solar lamp_03.jpg]"
A Modern Minimal Solar Lamp for Every Scenario,active,golden_trees__solar_lamp_flexible_post,project,Golden Trees,2016,Solar lighting,"A compact, solar-powered LED lamp with a flexible arm for versatile use and effortless attachment to various objects.",Our client needed an innovative design for a solar silicone lamp. We discovered an opportunity to create a versatile lamp with essential features that complements different decors and adapts to various situations.,"This lamp embodies modern minimal design by focusing on essential elements—the light and its flexible neck/stand. The versatile form allows it to stand on its own or be attached to a variety of objects, making it suitable for a wide range of scenarios while maintaining a sleek and uncluttered aesthetic.","[design research, ideation, innovation, user-centered design, 3D CAD modeling, color, material, finish selection (CMF), design presentation]",,,http://goldentreestechnology.com/,/assets/images/projects/golden_trees__solar_lamp_flexible_post/h_w_flexi solar lamp.jpg,"[/assets/images/projects/golden_trees__solar_lamp_flexible_post/p_w_flexi solar lamp_01.jpg, /assets/images/projects/golden_trees__solar_lamp_flexible_post/p_w_flexi solar lamp_02.jpg, /assets/images/projects/golden_trees__solar_lamp_flexible_post/p_w_flexi solar lamp_03.jpg]"
American Hero Luggage Line,active,hartmann__luggage,project,Hartmann,2005,Travel goods,A line of luggage for the business traveler.,"Hartmann wanted to evolve their mature brand for a new younger audience, but keep their strong visual identity of timeless bags made of belting leather.","We integrated a soft-modern curved face onto the classic rounded rectangular shape, to create a unisex design language that resonates with young urban professionals.","[design research, form exploration, 2D CAD, design documentation (tech pack)]",,,https://shop.hartmann.com/home,/assets/images/projects/hartmann__luggage/h_w_Hartmann Luggage.jpg,"[/assets/images/projects/hartmann__luggage/p_w_Hartmann Luggage_01.jpg, /assets/images/projects/hartmann__luggage/p_w_Hartmann Luggage_02.jpg, /assets/images/projects/hartmann__luggage/p_w_Hartmann Luggage_03.jpg]"
Apple TV Remote Case,active,jame_technology__apple_tv_remote_case,project,Jame Technology,2017,"Consumer electronics, mobile accessories",Ergonomic gaming case designed to protect and enhance the Apple TV Siri Remote for an optimal gaming experience.,"Best Buy sought a silicone gaming case design for the Apple TV Siri Remote, to offer protection and function for their customers.","Clay was the most natural first choice to explore and find the best ergonomic shape for a great gaming experience. After identifying the right shape using clay, we carefully refined it into a clean and geometric form that complements Apple's design language, while retaining the comfortable gaming grip and drop-protection. Our research found that customers complain of having a hard time finding the Apple remote due to its size and color, so we chose a bright red color for this case that appeals to gamers' preference for bold colors and ensures the remote is easily spotted in any living room.","[design research, ideation, user-centered design, ergonomics, prototyping, 3D CAD modeling, surfacing, color, material, finish selection (CMF), design presentation]",,,http://www.jamepda.com,/assets/images/projects/jame_technology__apple_tv_remote_case/h_w_Apple TV Remote Case.jpg,"[/assets/images/projects/jame_technology__apple_tv_remote_case/p_w_Apple TV Remote Case_01.jpg, /assets/images/projects/jame_technology__apple_tv_remote_case/p_w_Apple TV Remote Case_02.jpg, /assets/images/projects/jame_technology__apple_tv_remote_case/p_w_Apple TV Remote Case_03.jpg]"
